Channel ID,Year,Date,Day,Start Time,Duration,Programme,Programme(en),Episode #,Episode Title
NGC,2014,4.1,二,01:00,,世界地球日老爺車轉生術福特新銳(普),,,
NGC,2014,4.1,二,02:00,,Smart 九街頭科學實驗室 對抗引力,,,
NGC,2014,4.1,二,02:30,,Smart 九街頭科學實驗室 極度高溫,,,
NGC,2014,4.1,二,03:00,,絕讚10點阿拉斯加捕魚大戰比賽開始(普),,,
NGC,2014,4.1,二,04:00,,絕讚10點 街頭科學實驗室 水火效用(普) (普),,,
NGC,2014,4.1,二,04:30,,絕讚10點 街頭科學實驗室 大自然力量(普) (普),,,
NGC,2014,4.1,二,05:00,,透視內幕日產GT-R跑車(普),,,
NGC,2014,4.1,二,06:00,,長毛象: 起死回生 (普),,,
NGC,2014,4.1,二,07:00,,Best of the Best鬼鎮挖寶賺大錢 不法之徒(普),,,
NGC,2014,4.1,二,08:00,,世界地球日老爺車轉生術福特新銳(普),,,
NGC,2014,4.1,二,09:00,,Smart 九街頭科學實驗室 對抗引力,,,
NGC,2014,4.1,二,09:30,,Smart 九街頭科學實驗室 極度高溫,,,
NGC,2014,4.1,二,10:00,,絕讚10點阿拉斯加捕魚大戰比賽開始(普),,,
NGC,2014,4.1,二,11:00,,絕讚10點 街頭科學實驗室 水火效用(普) (普),,,
NGC,2014,4.1,二,11:30,,絕讚10點 街頭科學實驗室 大自然力量(普) (普),,,
NGC,2014,4.1,二,12:00,,跟著國家地理去旅行 街頭餐車美食秀2 瘋狂培根(普),,,
NGC,2014,4.1,二,12:30,,跟著國家地理去旅行環球美食通 海鮮篇(普),,,
NGC,2014,4.1,二,13:00,,超級工廠菲多利洋芋片(普),,,
NGC,2014,4.1,二,14:00,,空中浩劫12德國XL航空888T號班機(護),,,
NGC,2014,4.1,二,15:00,,巧賭耍詐出老千紐約(護),,,
NGC,2014,4.1,二,16:00,,渴望的夢幻名車(4) (普),,,
NGC,2014,4.1,二,17:00,,瘋狂科學家 旋翼船 (普),,,
NGC,2014,4.1,二,17:30,,瘋狂科學家 噴射辦公椅 (普),,,
NGC,2014,4.1,二,18:00,,尋寶拾荒客 藍帶啤酒工廠 (普),,,
NGC,2014,4.1,二,18:30,,尋寶拾荒客賓州油市銀行(普),,,
NGC,2014,4.1,二,19:00,,Best of the Best鬼鎮挖寶賺大錢豪賭人生(普),,,
NGC,2014,4.1,二,20:00,,世界地球日世界遺產大賞泰姬瑪哈陵(普),,,
NGC,2014,4.1,二,21:00,,Smart 九 瘋狂科學家 超級攀岩車(普),,,
NGC,2014,4.1,二,21:30,,Smart 九 瘋狂科學家 高速吹葉機(普),,,
NGC,2014,4.1,二,22:00,,絕讚10點街頭科學實驗室 火力放送(普),,,
NGC,2014,4.1,二,22:30,,絕讚10點街頭科學實驗室 壓力滿載(普),,,
NGC,2014,4.1,二,23:00,,絕讚10點老爺車轉生術奧斯汀(普),,,
NGC,2014,4.2,三,00:00,,超級工廠可口可樂(普),,,
NGC,2014,4.2,三,01:00,,世界地球日世界遺產大賞泰姬瑪哈陵(普),,,
NGC,2014,4.2,三,02:00,,Smart 九 瘋狂科學家 超級攀岩車(普),,,
NGC,2014,4.2,三,02:30,,Smart 九 瘋狂科學家 高速吹葉機(普),,,
NGC,2014,4.2,三,03:00,,絕讚10點街頭科學實驗室 火力放送(普),,,
NGC,2014,4.2,三,03:30,,絕讚10點街頭科學實驗室 壓力滿載(普),,,
NGC,2014,4.2,三,04:00,,絕讚10點老爺車轉生術奧斯汀(普),,,
NGC,2014,4.2,三,05:00,,超級工廠可口可樂(普),,,
NGC,2014,4.2,三,06:00,,捕魚戰士白鱘(普),,,
NGC,2014,4.2,三,07:00,,Best of the Best鬼鎮挖寶賺大錢豪賭人生(普),,,
NGC,2014,4.2,三,08:00,,世界地球日世界遺產大賞泰姬瑪哈陵(普),,,
NGC,2014,4.2,三,09:00,,Smart 九 瘋狂科學家 超級攀岩車(普),,,
NGC,2014,4.2,三,09:30,,Smart 九 瘋狂科學家 高速吹葉機(普),,,
NGC,2014,4.2,三,10:00,,絕讚10點街頭科學實驗室 火力放送(普),,,
NGC,2014,4.2,三,10:30,,絕讚10點街頭科學實驗室 壓力滿載(普),,,
NGC,2014,4.2,三,11:00,,絕讚10點老爺車轉生術奧斯汀(普),,,
NGC,2014,4.2,三,12:00,,跟著國家地理去旅行 街頭餐車美食秀2南方好味道(普),,,
NGC,2014,4.2,三,12:30,,跟著國家地理去旅行環球美食通 越南篇(普),,,
NGC,2014,4.2,三,13:00,,腦力大挑戰2說服力(普),,,
NGC,2014,4.2,三,13:30,,腦力大挑戰2你不知道的事(普),,,
NGC,2014,4.2,三,14:00,,巧賭耍詐出老千德州(護),,,
NGC,2014,4.2,三,15:00,,超級工廠阿斯頓馬丁(普),,,
NGC,2014,4.2,三,16:00,,渴望的夢幻名車(5) (普),,,
NGC,2014,4.2,三,17:00,,腦力大挑戰3空間感知,,,
NGC,2014,4.2,三,17:30,,腦力大挑戰3關於信任,,,
NGC,2014,4.2,三,18:00,,尋寶拾荒客康州鬼城(普),,,
NGC,2014,4.2,三,18:30,,尋寶拾荒客 紐約美生會會所(普),,,
NGC,2014,4.2,三,19:00,,Best of the Best鬼鎮挖寶賺大錢 拓荒馬車(普),,,
NGC,2014,4.2,三,20:00,,世界地球日拆屋挖寶賺大錢 湖畔之屋(普),,,
NGC,2014,4.2,三,20:30,,世界地球日拆屋挖寶賺大錢 百萬豪宅,,,
NGC,2014,4.2,三,21:00,,Smart 九腦力大挑戰3 吸引力法則,,,
NGC,2014,4.2,三,21:30,,Smart 九腦力大挑戰3 壓力測試,,,
NGC,2014,4.2,三,22:00,,絕讚10點 太空人全紀錄我的太空日記,,,
NGC,2014,4.2,三,23:00,,絕讚10點 太空人全紀錄看見地球:實況轉播(普)(原音精華版),,,
NGC,2014,4.3,四,00:00,,絕讚10點 太空人全紀錄太空人世代,,,
NGC,2014,4.3,四,01:00,,世界地球日拆屋挖寶賺大錢 湖畔之屋(普),,,
NGC,2014,4.3,四,01:30,,世界地球日拆屋挖寶賺大錢 百萬豪宅,,,
NGC,2014,4.3,四,02:00,,Smart 九腦力大挑戰3 吸引力法則,,,
NGC,2014,4.3,四,02:30,,Smart 九腦力大挑戰3 壓力測試,,,
NGC,2014,4.3,四,03:00,,絕讚10點 太空人全紀錄我的太空日記,,,
NGC,2014,4.3,四,04:00,,絕讚10點 太空人全紀錄看見地球(普)(原音精華版),,,
NGC,2014,4.3,四,05:00,,老爺車轉生術凱旋(普),,,
NGC,2014,4.3,四,06:00,,捕魚戰士尼羅尖吻鱸(普),,,
NGC,2014,4.3,四,07:00,,Best of the Best鬼鎮挖寶賺大錢 拓荒馬車(普),,,
NGC,2014,4.3,四,08:00,,世界地球日拆屋挖寶賺大錢 湖畔之屋(普),,,
NGC,2014,4.3,四,08:30,,世界地球日拆屋挖寶賺大錢 百萬豪宅,,,
NGC,2014,4.3,四,09:00,,Smart 九腦力大挑戰3 吸引力法則,,,
NGC,2014,4.3,四,09:30,,Smart 九腦力大挑戰3 壓力測試,,,
NGC,2014,4.3,四,10:00,,絕讚10點 太空人全紀錄我的太空日記,,,
